,score,scaled_score,feature
128,0.0006,0.001430615164520744,Dexia
129,0.0006,0.001430615164520744,Chiesi
130,0.0006,0.001430615164520744,Bowling
131,0.0006,0.001430615164520744,Apache
132,0.0006,0.001430615164520744,11-CV-0753
133,0.0005,0.0011921793037672867,therapies
134,0.0005,0.0011921793037672867,themerger
135,0.0005,0.0011921793037672867,preparers
136,0.0005,0.0011921793037672867,napkins
137,0.0005,0.0011921793037672867,memberâs
138,0.0005,0.0011921793037672867,housemate
139,0.0005,0.0011921793037672867,Zeglis
140,0.0005,0.0011921793037672867,Vinayak
141,0.0005,0.0011921793037672867,TRADING
142,0.0005,0.0011921793037672867,Soroosh\s
143,0.0005,0.0011921793037672867,Skillings
144,0.0005,0.0011921793037672867,Sinovel
145,0.0005,0.0011921793037672867,Shengnan
